name;simulation-bidirect-runtime;simulation-bidirect-parsing;simulation-bidirect-reduction;simulation-bidirect-states;simulation-bidirect-transitions
automata/nfa-bench/benchmarks/automata_inclusion/false-T224-rhs.mata;0.0; 0.00253981; 0.0003; 4; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-T23-lhs.mata;5.63; 1.61847; 3.9950; 12; 17
automata/nfa-bench/benchmarks/automata_inclusion/false-T23-rhs.mata;0.02; 0.0262064; 0.0036; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T231-lhs.mata;5.64; 1.62308; 4.0105; 12; 17
automata/nfa-bench/benchmarks/automata_inclusion/false-T231-rhs.mata;0.0; 0.0012161; 0.0002; 4; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-T232-lhs.mata;5.62; 1.63302; 4.0046; 12; 17
automata/nfa-bench/benchmarks/automata_inclusion/false-T232-rhs.mata;0.0; 0.00145565; 0.0003; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T233-lhs.mata;5.64; 1.62145; 4.0169; 12; 17
automata/nfa-bench/benchmarks/automata_inclusion/false-T233-rhs.mata;1.81; 0.679669; 1.1367; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T234-lhs.mata;5.62; 1.62229; 3.9998; 12; 17
automata/nfa-bench/benchmarks/automata_inclusion/false-T234-rhs.mata;1.81; 0.686836; 1.1410; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T235-lhs.mata;5.64; 1.61909; 3.9964; 12; 17
automata/nfa-bench/benchmarks/automata_inclusion/false-T235-rhs.mata;0.0; 0.000571442; 0.0003; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T236-lhs.mata;5.64; 1.62787; 4.0051; 12; 17
automata/nfa-bench/benchmarks/automata_inclusion/false-T236-rhs.mata;0.0; 0.00201896; 0.0004; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T237-lhs.mata;5.63; 1.62632; 4.0068; 12; 17
automata/nfa-bench/benchmarks/automata_inclusion/false-T237-rhs.mata;0.0; 0.000550311; 0.0002; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T238-lhs.mata;5.64; 1.61907; 4.0039; 12; 17
automata/nfa-bench/benchmarks/automata_inclusion/false-T238-rhs.mata;0.0; 0.00619844; 0.0010; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T239-lhs.mata;5.62; 1.62119; 3.9961; 12; 17
automata/nfa-bench/benchmarks/automata_inclusion/false-T239-rhs.mata;0.0; 0.00201252; 0.0004; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T24-lhs.mata;5.63; 1.62819; 4.0049; 12; 17
automata/nfa-bench/benchmarks/automata_inclusion/false-T24-rhs.mata;0.0; 0.00621803; 0.0010; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T25-lhs.mata;5.58; 1.62115; 3.9680; 12; 17
automata/nfa-bench/benchmarks/automata_inclusion/false-T25-rhs.mata;0.03; 0.0261676; 0.0040; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T26-lhs.mata;5.61; 1.61878; 3.9911; 12; 17
automata/nfa-bench/benchmarks/automata_inclusion/false-T26-rhs.mata;0.0; 0.00615097; 0.0010; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T27-lhs.mata;5.62; 1.62368; 3.9951; 12; 17
automata/nfa-bench/benchmarks/automata_inclusion/false-T27-rhs.mata;0.09; 0.0714461; 0.0160; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T28-lhs.mata;5.62; 1.62322; 3.9934; 12; 17
automata/nfa-bench/benchmarks/automata_inclusion/false-T28-rhs.mata;0.03; 0.0273365; 0.0040; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T29-lhs.mata;5.65; 1.62221; 4.0136; 12; 17
automata/nfa-bench/benchmarks/automata_inclusion/false-T29-rhs.mata;0.11; 0.0877047; 0.0228; 5; 5
