name;simulation-fixpoint-runtime;simulation-fixpoint-parsing;simulation-fixpoint-reduction;simulation-fixpoint-states;simulation-fixpoint-transitions
automata/nfa-bench/benchmarks/automata_inclusion/false-T233-rhs.mata;1.73; 0.648816; 1.0910; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T234-lhs.mata;5.33; 1.52156; 3.7807; 5; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-T234-rhs.mata;1.72; 0.642357; 1.0941; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T235-lhs.mata;5.34; 1.54391; 3.7878; 5; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-T235-rhs.mata;0.0; 0.000527941; 0.0004; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T236-lhs.mata;5.33; 1.52138; 3.7896; 5; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-T236-rhs.mata;0.0; 0.00193835; 0.0009; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T237-lhs.mata;5.32; 1.52636; 3.8120; 5; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-T237-rhs.mata;0.0; 0.000523672; 0.0004; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T238-lhs.mata;5.32; 1.51829; 3.8159; 5; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-T238-rhs.mata;0.0; 0.00595999; 0.0015; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T239-lhs.mata;5.38; 1.54301; 3.8256; 5; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-T239-rhs.mata;0.0; 0.00190372; 0.0010; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T24-lhs.mata;5.28; 1.51553; 3.7840; 5; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-T24-rhs.mata;0.0; 0.00591361; 0.0015; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T25-lhs.mata;5.36; 1.53658; 3.8210; 5; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-T25-rhs.mata;0.03; 0.024734; 0.0044; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T26-lhs.mata;5.32; 1.52459; 3.7755; 5; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-T26-rhs.mata;0.0; 0.00591926; 0.0015; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T27-lhs.mata;5.37; 1.53767; 3.8261; 5; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-T27-rhs.mata;0.07; 0.0672577; 0.0161; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T28-lhs.mata;5.3; 1.52135; 3.7773; 5; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-T28-rhs.mata;0.03; 0.0248332; 0.0044; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T29-lhs.mata;5.38; 1.56538; 3.8200; 5; 6
